site,month,baseline,heuristic,mpc,oracle,mpc_vs_baseline_pct,gap_closed_pct
Heraklion GR,2025-01-01,310.8,317.8,1460.6,1717.0,369.94851994851996,81.76646280756648
Heraklion GR,2025-04-01,2018.3,2017.2,3326.0,3793.5,64.79215181093,73.66493916178459
Heraklion GR,2025-07-01,3248.3,3234.3,5072.9,5144.6,56.17092017362926,96.21895269735798
Heraklion GR,2025-10-01,1142.3,1133.9,2471.3,2735.9,116.34421780618054,83.39608433734941
Leipzig DE,2025-01-01,0.0,0.0,156.2,278.9,inf,56.00573682323413
Leipzig DE,2025-04-01,1156.7,1187.3,2326.5,2958.7,101.13253220368289,64.91675915649279
Leipzig DE,2025-07-01,1474.8,1474.9,2441.1,3561.4,65.52074857607812,46.30978625515191
Leipzig DE,2025-10-01,68.9,77.4,601.1,998.5,772.423802612482,57.25043029259897
Seville ES,2025-01-01,248.0,259.0,1064.6,1448.8,329.274193548387,68.00466355762823
Seville ES,2025-04-01,1944.3,1952.4,3044.0,3666.2,56.56020161497712,63.865497415645514
Seville ES,2025-07-01,2902.7,2889.6,4766.4,4852.5,64.20573948392875,95.58416247820287
Seville ES,2025-10-01,993.6,979.2,2389.9,2594.7,140.52938808373594,87.20879395415655
Wiltshire UK,2025-01-01,0.0,0.0,92.2,292.3,inf,31.542935340403695
Wiltshire UK,2025-04-01,1314.5,1334.6,2532.8,3235.3,92.68162799543553,63.42669720949605
Wiltshire UK,2025-07-01,1607.4,1606.4,2509.3,3894.5,56.109244743063336,39.43421800533427
Wiltshire UK,2025-10-01,40.8,81.7,784.2,1146.2,1822.0588235294122,67.25167360231592
